"COU","Country","WASTE","Waste category","WST_OPER","Waste management operations","UNIT","Unit of measure","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2012","2012",6.455,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2013","2013",6.933,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2014","2014",7.057,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2015","2015",8.336,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2016","2016",8.538,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2017","2017",8.028,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2018","2018",8.043,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",8.097,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",8.563,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",3.877,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2000","2000",0.705,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2005","2005",1.326,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2010","2010",2.28,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2011","2011",2.538,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2012","2012",2.773,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2013","2013",2.965,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2014","2014",3.105,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2015","2015",3.189,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2016","2016",3.212,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2017","2017",3.182,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2018","2018",3.117,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2019","2019",3.021,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2020","2020",2.912,,
"AUS","Australia","EE_SME","Screens and monitors","GEN","Waste generated","KG_HAB","Kilograms per capita","2021","2021",2.815,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2000","2000",2.011,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2005","2005",3.427,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2010","2010",4.361,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2011","2011",4.158,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2012","2012",3.196,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2013","2013",2.69,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2014","2014",2.573,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2015","2015",2.467,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2016","2016",2.489,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2017","2017",2.179,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2018","2018",2.051,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",2.112,,
"AUS","Australia","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",1.731,,
"AUS","Australia","EE_SME","Screens and monitors","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",1.541,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2000","2000",0.257,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2005","2005",0.286,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2010","2010",0.355,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2011","2011",0.376,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2012","2012",0.388,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2013","2013",0.396,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2014","2014",0.394,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2015","2015",0.385,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2016","2016",0.369,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2017","2017",0.35,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2018","2018",0.327,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2019","2019",0.3,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2020","2020",0.274,,
"AUS","Australia","EE_LMP","Lamps","GEN","Waste generated","KG_HAB","Kilograms per capita","2021","2021",0.252,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2000","2000",0.382,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2005","2005",0.286,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2010","2010",0.51,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2011","2011",0.472,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2012","2012",0.374,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2013","2013",0.351,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2014","2014",0.304,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2015","2015",0.245,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2016","2016",0.27,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2017","2017",0.215,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2018","2018",0.181,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",0.186,,
"AUS","Australia","EE_LMP","Lamps","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",0.169,,
"AUS","Australia","EE_LMP","Lamps","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",0.054,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2000","2000",0.714,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2005","2005",1.301,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2010","2010",2.156,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2011","2011",2.36,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2012","2012",2.56,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2013","2013",2.764,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2014","2014",2.98,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2015","2015",3.195,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2016","2016",3.406,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2017","2017",3.612,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2018","2018",3.833,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2019","2019",4.053,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2020","2020",4.292,,
"AUS","Australia","EE_LE","Large equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2021","2021",4.588,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2000","2000",2.949,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2005","2005",4.88,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2010","2010",7.52,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2011","2011",9.646,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2012","2012",10.611,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2013","2013",9.543,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2014","2014",9.557,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2015","2015",10.002,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2016","2016",9.217,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2017","2017",11.014,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2018","2018",16.409,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",18.873,,
"AUS","Australia","EE_LE","Large equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",19.385,,
"AUS","Australia","EE_LE","Large equipment","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",3.648,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2000","2000",1.99,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2005","2005",3.415,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2010","2010",5.051,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2011","2011",5.366,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2012","2012",5.645,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2013","2013",5.891,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2014","2014",6.129,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2015","2015",6.337,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2016","2016",6.503,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2017","2017",6.621,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2018","2018",6.685,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2019","2019",6.677,,
